date,total_passenger,commute_passenger,other_passenger,holiday_or_weekend
2023-03-29,4870912.0,2088937.0,2781975.0,0
2023-03-30,4872907.0,2076869.0,2796038.0,0
2023-03-31,4979460.0,2046337.0,2933123.0,0
2023-04-01,3823776.0,1131758.0,2692018.0,1
2023-04-02,2977616.0,861040.0,2116576.0,1
2023-04-03,4805220.0,2067007.0,2738213.0,0
2023-04-04,4869126.0,2128651.0,2740475.0,0
2023-04-05,4677888.0,2094244.0,2583644.0,0
2023-04-06,4841324.0,2120690.0,2720634.0,0
2023-04-07,4970261.0,2073702.0,2896559.0,0
2023-04-08,3632689.0,1102089.0,2530600.0,1
2023-04-09,2745801.0,807053.0,1938748.0,1
2023-04-10,4724114.0,2045201.0,2678913.0,0
2023-04-11,4596748.0,2049208.0,2547540.0,0
2023-04-12,4864597.0,2088648.0,2775949.0,0
2023-04-13,4819352.0,2064193.0,2755159.0,0
2023-04-14,4858211.0,1996035.0,2862176.0,0
2023-04-15,3366813.0,1036516.0,2330297.0,1
2023-04-16,2626575.0,773653.0,1852922.0,1
2023-04-17,4661718.0,2012620.0,2649098.0,0
2023-04-18,4696800.0,2078399.0,2618401.0,0
2023-04-19,4845567.0,2052033.0,2793534.0,0
2023-04-20,4763140.0,2027041.0,2736099.0,0
2023-04-21,4854483.0,1998597.0,2855886.0,0
2023-04-22,3516632.0,1053769.0,2462863.0,1
2023-04-23,2650309.0,780596.0,1869713.0,1
2023-04-24,4672910.0,2010527.0,2662383.0,0
2023-04-25,4774809.0,2068784.0,2706025.0,0
2023-04-26,4889845.0,2081849.0,2807996.0,0
2023-04-27,4906743.0,2068213.0,2838530.0,0
2023-04-28,5005008.0,2016836.0,2988172.0,0
2023-04-29,3221661.0,995140.0,2226521.0,1
2023-04-30,2872410.0,853523.0,2018887.0,1
2023-05-01,3579174.0,1186343.0,2392831.0,0
2023-05-02,4857517.0,2080631.0,2776886.0,0
2023-05-03,4959792.0,2090603.0,2869189.0,0
2023-05-04,4992593.0,2061819.0,2930774.0,0
2023-05-05,2476196.0,729818.0,1746378.0,1
2023-05-06,2884686.0,884574.0,2000112.0,1
2023-05-07,2692768.0,792142.0,1900626.0,1
2023-05-08,4750962.0,2039196.0,2711766.0,0
2023-05-09,4872366.0,2084479.0,2787887.0,0
2023-05-10,4899699.0,2075757.0,2823942.0,0
2023-05-11,4896447.0,2057609.0,2838838.0,0
2023-05-12,5000436.0,2038583.0,2961853.0,0
2023-05-13,3741819.0,1117447.0,2624372.0,1
2023-05-14,2850279.0,839822.0,2010457.0,1
2023-05-15,4812040.0,2034347.0,2777693.0,0
2023-05-16,4869208.0,2076235.0,2792973.0,0
2023-05-17,4890847.0,2067495.0,2823352.0,0
2023-05-18,4817117.0,2035693.0,2781424.0,0
2023-05-19,5017987.0,2034772.0,2983215.0,0
2023-05-20,3754310.0,1121654.0,2632656.0,1
2023-05-21,2820600.0,829470.0,1991130.0,1
2023-05-22,4733565.0,2031663.0,2701902.0,0
2023-05-23,4869317.0,2071822.0,2797495.0,0
2023-05-24,4891218.0,2056398.0,2834820.0,0
2023-05-25,4954755.0,2065045.0,2889710.0,0
2023-05-26,4996335.0,2014737.0,2981598.0,0
2023-05-27,3088094.0,915442.0,2172652.0,1
2023-05-28,2406524.0,710050.0,1696474.0,1
2023-05-29,2973154.0,890279.0,2082875.0,0
2023-05-30,4840403.0,2051470.0,2788933.0,0
