,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
249,2021-09-07,14.0,29.6,0.0,Weekday,Fall,2021,Good,Moderate,No_Snow,0.0
250,2021-09-08,15.0,1.6,0.0,Weekday,Fall,2021,Good,Light,No_Snow,0.0
251,2021-09-09,40.0,0.0,0.0,Weekday,Fall,2021,Normal,Dry,No_Snow,0.0
252,2021-09-10,41.0,0.0,0.0,Weekday,Fall,2021,Normal,Dry,No_Snow,0.0
253,2021-09-11,36.0,0.0,0.0,Weekend,Fall,2021,Normal,Dry,No_Snow,0.0
254,2021-09-12,21.0,0.0,0.0,Weekend,Fall,2021,Good,Dry,No_Snow,0.0
255,2021-09-13,25.0,0.0,0.0,Weekday,Fall,2021,Good,Dry,No_Snow,0.0
256,2021-09-14,20.0,0.0,0.0,Weekday,Fall,2021,Good,Dry,No_Snow,0.0
257,2021-09-15,16.0,0.0,0.0,Weekday,Fall,2021,Good,Dry,No_Snow,0.0
258,2021-09-16,14.0,0.0,0.0,Weekday,Fall,2021,Good,Dry,No_Snow,0.0
259,2021-09-17,16.0,0.0,0.0,Weekday,Fall,2021,Good,Dry,No_Snow,0.0
260,2021-09-18,16.0,0.0,0.0,Weekend,Fall,2021,Good,Dry,No_Snow,0.0
261,2021-09-19,14.0,0.0,0.0,Weekend,Fall,2021,Good,Dry,No_Snow,0.0
262,2021-09-20,15.0,0.0,0.0,Weekday,Fall,2021,Good,Dry,No_Snow,0.0
263,2021-09-21,22.0,68.1,0.0,Weekend,Fall,2021,Good,Heavy,No_Snow,0.0
